ep,accuracy
0,0.15625
1,0.578125
2,0.578125
3,0.53125
4,0.546875
5,0.21875
6,0.390625
7,0.703125
8,0.671875
9,0.1875
10,0.609375
11,0.65625
12,0.546875
13,0.59375
14,0.734375
15,0.671875
16,0.6875
17,0.6875
18,0.671875
19,0.765625
20,0.640625
21,0.71875
22,0.84375
23,0.84375
24,0.875
25,0.640625
26,0.71875
27,0.734375
28,0.875
29,0.671875
30,0.765625
31,0.859375
32,0.890625
33,0.90625
34,0.90625
35,0.890625
36,0.90625
37,0.8125
38,0.8125
39,0.625
40,0.671875
41,0.4375
42,0.65625
43,0.5625
44,0.546875
45,0.453125
46,0.484375
47,0.671875
48,0.65625
49,0.75
50,0.953125
51,0.8125
52,0.625
53,0.4375
54,0.71875
55,0.671875
56,0.59375
57,0.578125
58,0.4375
59,0.515625
60,0.734375
61,0.515625
62,0.546875
63,0.53125
64,0.640625
65,0.796875
66,0.78125
67,0.828125
68,0.625
69,0.734375
70,0.953125
71,0.984375
72,0.984375
73,0.9375
74,0.78125
75,0.734375
76,0.796875
77,0.6875
78,0.625
79,0.640625
80,0.796875
81,0.828125
82,0.953125
83,0.96875
84,0.96875
85,0.90625
86,0.96875
87,0.96875
88,0.9375
89,0.9375
90,0.96875
91,1.0
92,0.984375
93,0.953125
94,0.96875
95,0.953125
96,0.859375
97,0.84375
98,0.9375
99,0.90625
100,0.671875
